IRIS,REG,DEP,P14_POP,P14_POP0014
021430000,32,02,199,45
021440000,32,02,139,34
021450000,32,02,564,117
021460000,32,02,82,15
021480000,32,02,259,47
021490000,32,02,65,17
021500000,32,02,69,14
021510000,32,02,113,17
021520000,32,02,91,15
021530000,32,02,462,78
021540000,32,02,354,86
021550000,32,02,179,31
021560000,32,02,244,47
021570000,32,02,800,140
021580000,32,02,288,71
021590000,32,02,284,48
021600000,32,02,530,116
021620000,32,02,286,85
021630000,32,02,2672,564
021640000,32,02,321,56
021650000,32,02,1624,307
021660000,32,02,348,63
021670000,32,02,869,199
021680101,32,02,4035,668
021680201,32,02,2186,292
021680301,32,02,134,10
021680401,32,02,2070,422
021680501,32,02,2042,431
021680601,32,02,1825,251
021680701,32,02,2254,521
021690000,32,02,88,14
021700000,32,02,127,23
021710000,32,02,86,17
021720000,32,02,252,61
021730101,32,02,4443,889
021730201,32,02,4578,797
021730301,32,02,2876,494
021740000,32,02,806,177
021750000,32,02,137,26
021760000,32,02,205,46
021770000,32,02,137,33
021780000,32,02,111,27
021790000,32,02,371,82
021800000,32,02,696,153
021810000,32,02,97,15
021820000,32,02,140,34
021830000,32,02,196,36
021840000,32,02,369,74
021850000,32,02,405,97
021860000,32,02,1320,193
021870000,32,02,1065,176
021880000,32,02,144,23
021890000,32,02,381,79
021900000,32,02,568,102
021910000,32,02,502,91
021920000,32,02,380,91
021930000,32,02,71,13
021940000,32,02,218,35
021950000,32,02,907,209
021960000,32,02,326,67
021970000,32,02,563,103
021980000,32,02,222,37
021990000,32,02,641,136
022000000,32,02,123,18
022010000,32,02,458,69
022030000,32,02,1332,309
022040000,32,02,70,6
022050000,32,02,217,67
022060000,32,02,83,19
022070000,32,02,208,55
022080000,32,02,278,59
022090000,32,02,658,138
022100000,32,02,371,81
022110000,32,02,237,52
022120000,32,02,723,129
022130000,32,02,320,49
022140000,32,02,63,15
022150000,32,02,738,143
022160000,32,02,316,58
022170000,32,02,1041,191
022180000,32,02,619,135
022190000,32,02,212,50
022200000,32,02,437,95
022210000,32,02,171,33
022220000,32,02,31,6
022230000,32,02,303,63
022240000,32,02,366,82
022250000,32,02,95,17
022260000,32,02,1786,299
022270000,32,02,134,24
022280000,32,02,293,55
022290000,32,02,65,13
022300000,32,02,188,34
022310000,32,02,901,233
022320000,32,02,362,34
022330000,32,02,129,22
022340000,32,02,79,13
022350000,32,02,113,19
022360000,32,02,339,83
022370000,32,02,1487,279
022380000,32,02,1946,456
022390000,32,02,1199,268
022400000,32,02,240,61
022410000,32,02,113,17
022420000,32,02,638,132
022430000,32,02,2857,480
022440000,32,02,74,26
022450000,32,02,1810,302
022460000,32,02,589,121
022480000,32,02,160,44
022490000,32,02,111,26
022500000,32,02,71,16
022510000,32,02,29,5
022520000,32,02,63,8
022530000,32,02,345,72
022540000,32,02,125,33
022550000,32,02,145,33
022560000,32,02,133,28
022570000,32,02,429,74
022580000,32,02,401,74
022590000,32,02,404,78
022600000,32,02,588,126
022610000,32,02,388,78
022620000,32,02,223,45
022630000,32,02,114,24
022640000,32,02,760,145
022650000,32,02,100,14
022660000,32,02,52,10
022670000,32,02,291,57
022680000,32,02,665,166
022690000,32,02,155,33
022700000,32,02,157,41
022710000,32,02,147,28
022720000,32,02,71,14
022730000,32,02,209,42
022740000,32,02,212,48
022750000,32,02,336,70
022760000,32,02,138,26
022770000,32,02,333,77
022780000,32,02,38,2
022790000,32,02,570,117
022800000,32,02,384,73
022810000,32,02,264,61
022820000,32,02,416,92
022830000,32,02,290,69
022840000,32,02,85,14
022860000,32,02,846,169
022870000,32,02,1073,191
022880000,32,02,361,65
022890000,32,02,436,78
022900000,32,02,2781,585
022910000,32,02,414,89
022920000,32,02,1217,208
022930000,32,02,591,146
022940000,32,02,213,35
022950000,32,02,907,186
022960000,32,02,1196,237
022970000,32,02,102,22
022980000,32,02,1480,257
022990000,32,02,579,114
023010000,32,02,304,71
023020000,32,02,309,62
023030000,32,02,685,140
023040000,32,02,2847,611
023050000,32,02,3191,585
023060000,32,02,565,119
023070000,32,02,2147,398
023080000,32,02,507,92
023090000,32,02,657,164
023100000,32,02,277,48
023110000,32,02,133,37
023120000,32,02,1191,277
023130000,32,02,474,97
023150000,32,02,1659,361
023160000,32,02,137,20
023170000,32,02,217,33
023180000,32,02,1414,281
023190000,32,02,501,105
023200000,32,02,271,48
023210000,32,02,938,213
023220000,32,02,400,78
023230000,32,02,127,32
023240000,32,02,272,64
023260000,32,02,495,91
023270000,32,02,177,43
023280000,32,02,553,88
023290000,32,02,421,83
023300000,32,02,428,65
023310000,32,02,126,23
023320000,32,02,268,54
023330000,32,02,159,40
023340000,32,02,2973,606
023350000,32,02,201,40
023360000,32,02,1010,255
023370000,32,02,195,33
023380000,32,02,262,55
023390000,32,02,691,161
023400101,32,02,1879,360
023400201,32,02,2220,451
023400301,32,02,1244,166
023410000,32,02,291,59
023420000,32,02,135,20
023430000,32,02,77,14
023440000,32,02,49,8
023450000,32,02,45,9
023460000,32,02,676,114
023470000,32,02,457,73
023490000,32,02,51,10
023500000,32,02,149,31
023510000,32,02,122,34
023520000,32,02,577,112
023530000,32,02,305,70
023540000,32,02,96,23
023550000,32,02,989,247
023560000,32,02,220,63
023570000,32,02,77,22
023580000,32,02,373,81
023590000,32,02,1263,295
023600000,32,02,2200,448
023610000,32,02,5014,881
023620000,32,02,255,53
023630000,32,02,431,74
023640000,32,02,226,50
023660000,32,02,308,80
023670000,32,02,142,26
023680000,32,02,583,119
023690000,32,02,248,44
023700000,32,02,581,135
023710000,32,02,1661,271
023720000,32,02,390,99
023730000,32,02,225,38
023740000,32,02,905,190
023750000,32,02,169,36
023760000,32,02,166,31
023770000,32,02,152,31
023780000,32,02,153,25
023790000,32,02,236,37
023800000,32,02,30,1
023810101,32,02,3329,629
023810201,32,02,2867,605
023810301,32,02,1762,298
023810401,32,02,1378,304
023820000,32,02,1415,274
023830000,32,02,1492,292
023840000,32,02,49,11
023850000,32,02,159,32
023860000,32,02,242,54
023870000,32,02,1052,194
023880000,32,02,220,40
023890000,32,02,644,122
023900000,32,02,275,67
023910000,32,02,218,35
023920000,32,02,310,59
023930000,32,02,147,34
023950000,32,02,158,39
023960000,32,02,63,16
023970000,32,02,1217,254
023980000,32,02,286,68
023990000,32,02,576,165
024000000,32,02,150,32
024010000,32,02,204,40
024020000,32,02,43,3
024030000,32,02,280,55
024040000,32,02,192,47
024050000,32,02,591,126
024060000,32,02,139,26
024070000,32,02,172,34
024080101,32,02,2405,462
024080102,32,02,1406,411
024080103,32,02,1189,320
024080201,32,02,3912,742
024080301,32,02,1782,175
024080401,32,02,1041,135
024080402,32,02,2104,427
024080501,32,02,3594,497
024080601,32,02,2350,373
024080701,32,02,134,13
024080801,32,02,3366,609
024080901,32,02,1999,261
024090000,32,02,290,53
024100000,32,02,252,42
024110000,32,02,213,51
024120000,32,02,100,29
024130000,32,02,250,49
024140000,32,02,211,50
024150000,32,02,165,39
024160000,32,02,442,66
024170000,32,02,94,9
024180000,32,02,208,43
024190000,32,02,279,42
024200000,32,02,831,165
024210000,32,02,87,18
024220000,32,02,813,163
024230000,32,02,393,89
024240000,32,02,108,17
024250000,32,02,169,40
024260000,32,02,561,107
024270000,32,02,145,30
024280000,32,02,77,16
024290000,32,02,112,22
024300000,32,02,1302,214
024310000,32,02,418,62
024320000,32,02,185,36
024330000,32,02,233,42
024340000,32,02,265,57
024350000,32,02,77,14
024380000,32,02,275,49
024390000,32,02,1182,300
024400000,32,02,149,38
024410000,32,02,207,40
024420000,32,02,93,13
024430000,32,02,192,38
024440000,32,02,108,15
024450000,32,02,292,50
024460000,32,02,128,37
024470000,32,02,146,31
024480000,32,02,116,21
024490000,32,02,76,19
024500000,32,02,377,77
024510000,32,02,126,27
024520000,32,02,245,49
024530000,32,02,431,95
024540000,32,02,419,114
024550000,32,02,192,42
024560000,32,02,321,46
024570000,32,02,408,98
024580000,32,02,834,189
024590000,32,02,178,35
024600000,32,02,203,26
024610000,32,02,353,71
024620000,32,02,260,53
024630000,32,02,79,20
024640000,32,02,371,78
024650000,32,02,476,98
024660000,32,02,130,27
024670000,32,02,50,11
024680000,32,02,2306,412
024690000,32,02,456,72
024700000,32,02,432,97
024710000,32,02,119,20
024720000,32,02,435,95
024730000,32,02,205,54
024740000,32,02,429,108
024750000,32,02,425,100
024760000,32,02,631,120
024770000,32,02,971,186
024780000,32,02,275,66
024800000,32,02,302,59
024810000,32,02,441,84
024820000,32,02,51,12
024830000,32,02,527,94
024840000,32,02,526,112
024850000,32,02,109,17
024860000,32,02,110,27
024870000,32,02,655,101
024880000,32,02,150,27
024890000,32,02,327,72
024900000,32,02,132,27
024910000,32,02,326,61
024920000,32,02,471,100
024930000,32,02,215,43
024940000,32,02,119,17
024950000,32,02,1013,223
024960000,32,02,114,30
024970000,32,02,1216,273
024980000,32,02,753,160
024990000,32,02,48,11
025000000,32,02,850,177
025010000,32,02,60,8
025020000,32,02,1431,249
025030000,32,02,876,177
025040000,32,02,1669,404
025050000,32,02,202,37
025060000,32,02,199,29
025070000,32,02,34,6
025080000,32,02,155,25
025090000,32,02,155,31
025100000,32,02,150,31
025110000,32,02,305,60
025120000,32,02,277,66
025130000,32,02,150,20
025140000,32,02,688,149
025150000,32,02,62,16
025160000,32,02,58,12
025170000,32,02,336,81
025180000,32,02,286,49
025190000,32,02,186,38
025200000,32,02,738,161
025210000,32,02,1380,311
025220000,32,02,76,26
025230000,32,02,79,18
025240000,32,02,705,152
025250000,32,02,585,98
025260000,32,02,90,14
025270000,32,02,420,89
025280000,32,02,246,37
025290000,32,02,197,37
025300000,32,02,78,16
025310000,32,02,125,22
025320000,32,02,978,175
025330000,32,02,131,27
025340000,32,02,58,16
025350000,32,02,126,21
025360000,32,02,93,18
025370000,32,02,180,44
025380000,32,02,62,12
025390000,32,02,730,159
025400000,32,02,1228,240
025410000,32,02,414,71
025420000,32,02,97,23
025430000,32,02,2157,447
025440000,32,02,595,116
025450000,32,02,198,38
025460000,32,02,201,56
025470000,32,02,63,15
025480000,32,02,393,78
025490000,32,02,861,142
025500000,32,02,101,16
025510000,32,02,125,32
025520000,32,02,189,43
025530000,32,02,255,57
025540000,32,02,1009,157
025550000,32,02,2198,419
025560000,32,02,83,10
025570000,32,02,137,26
025580000,32,02,2727,487
025590000,32,02,522,102
025600000,32,02,261,50
025610000,32,02,160,33
025620000,32,02,233,66
025630000,32,02,172,40
025640000,32,02,505,106
025650000,32,02,289,66
025660000,32,02,1161,201
025670000,32,02,316,62
025680000,32,02,148,25
025690000,32,02,460,115
025700000,32,02,183,50
025710000,32,02,707,113
025720000,32,02,518,116
025730000,32,02,67,10
025740000,32,02,1544,297
025750000,32,02,1717,323
025760000,32,02,311,73
025770000,32,02,78,15
025780000,32,02,97,30
025790000,32,02,119,18
025800000,32,02,831,154
025810000,32,02,300,68
025820000,32,02,65,9
025830000,32,02,60,12
025840000,32,02,118,26
025850000,32,02,250,48
025860000,32,02,142,27
025870000,32,02,358,63
025880000,32,02,75,16
025890000,32,02,247,46
025900000,32,02,180,36
025910000,32,02,129,25
025920000,32,02,209,54
025930000,32,02,1004,136
025940000,32,02,156,34
025950000,32,02,139,24
025960000,32,02,799,180
025980000,32,02,678,116
025990000,32,02,274,38
026000000,32,02,400,88
026010000,32,02,195,46
026020000,32,02,1784,363
026040000,32,02,74,12
026050000,32,02,165,28
026060000,32,02,75,11
026070000,32,02,80,16
026080000,32,02,445,78
026090000,32,02,22,3
026100000,32,02,603,111
026120000,32,02,130,30
026130000,32,02,601,150
026140000,32,02,266,44
026150000,32,02,328,76
026160000,32,02,194,40
026170000,32,02,501,97
026180000,32,02,724,164
026190000,32,02,738,76
026200000,32,02,378,65
026210000,32,02,396,68
026220000,32,02,50,16
026230000,32,02,110,22
026240000,32,02,320,52
026250000,32,02,150,32
026260000,32,02,329,63
026270000,32,02,118,30
026280000,32,02,216,45
026290000,32,02,295,69
026310000,32,02,428,94
026320000,32,02,61,12
026330000,32,02,63,14
026340000,32,02,77,16
026350000,32,02,162,34
026360000,32,02,203,39
026370000,32,02,309,48
026380000,32,02,232,38
026390000,32,02,375,74
026400000,32,02,172,36
026410000,32,02,134,31
026420000,32,02,180,15
026430000,32,02,769,147
026440000,32,02,382,83
026450000,32,02,226,45
026470000,32,02,72,13
026480000,32,02,1968,393
026490000,32,02,264,50
026500000,32,02,377,81
026510000,32,02,99,21
026520000,32,02,112,24
026530000,32,02,492,90
026540000,32,02,91,18
026550000,32,02,121,21
026560000,32,02,376,86
026570000,32,02,233,64
026580000,32,02,229,39
026590000,32,02,519,94
026600000,32,02,39,2
026610000,32,02,226,51
026620000,32,02,298,64
026630000,32,02,234,39
026640000,32,02,117,20
